=== SYSTEM STATUS ===;;;;;;;
System Mode: OPEN LOOP;;;;;;;
Sensor Mode: NORMAL;;;;;;;
Manual MI: 1.000;;;;;;;
Manual Duty Cycle: 0.700;;;;;;;
POD PWM Debug: DISABLED;;;;;;;
MLBC Debug: DISABLED;;;;;;;
MLBC: STOPPED;MANUAL;Target:0.00%;Actual:0.00%;Vin:0.0V;Vout:0.0V;Iin:0.0A;Faults:0x00
====================;;;;;;;
;;;;;;;
AC Sensor initialized;;;;;;;
Configuration: 200 samples per cycle; 5 cycles per measurement;;;;;;
Total buffer size: 2000 samples (1000V + 1000I);;;;;;;
Sampling rate: 10.0 kHz (TIM3 shared with POD PWM);;;;;;;
AC Sensor started - DMA acquisition active (triggered by TIM3 at 10.0kHz);;;;;;;
DC Sensor initialized;;;;;;;
Voltage range: 0-28.0V; Current range: 0-25.0A;;;;;;
Protection thresholds: V>29.0V; I>25.0A;;;;;;
DC Sensor started - Continuous ADC acquisition active;;;;;;;
Fuzzy Controller initialized successfully;;;;;;;
Target: 220.0V; Range: ±1.0V; Output: 0.75-1.25 MI;;;;;
System Initialization Complete;;;;;;;
Start/Stop button pressed! Switching to: RUNNING;;;;;;;
Starting entire system...;;;;;;;
POD_PWM_Enable called with: 1 (was: 0);;;;;;;
POD PWM enabled;;;;;;;
System started successfully;;;;;;;
=== CALIBRATION MODE ACTIVATED ===;;;;;;;
181;748;1393;;;;;
182;752;1280;;;;;
183;748;1191;;;;;
184;755;1166;;;;;
185;744;1103;;;;;
186;742;1067;;;;;
187;740;1020;;;;;
188;753;1215;;;;;
189;747;1141;;;;;
190;743;1076;;;;;
191;744;1016;;;;;
192;741;1291;;;;;
193;743;1187;;;;;
194;739;1108;;;;;
195;746;1050;;;;;
196;743;1272;;;;;
197;749;1192;;;;;
198;742;1112;;;;;
199;752;1037;;;;;
200;751;1215;;;;;
201;746;1072;;;;;
202;755;1015;;;;;
203;747;960;;;;;
204;753;1236;;;;;
205;745;1127;;;;;
206;750;1070;;;;;
207;744;993;;;;;
208;746;1217;;;;;
209;742;1116;;;;;
210;747;1040;;;;;
211;745;988;;;;;
212;743;1226;;;;;
213;748;1128;;;;;
214;743;1048;;;;;
215;755;1003;;;;;
216;1035;1164;;;;;
217;1062;1091;;;;;
218;1039;1020;;;;;
219;1039;968;;;;;
220;1034;1155;;;;;
221;1037;1081;;;;;
222;1045;1035;;;;;
223;1037;1021;;;;;
224;1045;1128;;;;;
225;1045;1068;;;;;
226;1041;1021;;;;;
227;1045;973;;;;;
228;1039;1204;;;;;
229;1037;1128;;;;;
230;1039;1085;;;;;
231;1039;1032;;;;;
232;1308;648;;;;;
233;1318;746;;;;;
234;1331;787;;;;;
235;1307;854;;;;;
236;1305;1091;;;;;
237;1310;1075;;;;;
238;1315;1069;;;;;
239;1311;1093;;;;;
240;1312;1251;;;;;
241;1317;1188;;;;;
242;1573;704;;;;;
243;1581;791;;;;;
244;1579;895;;;;;
245;1582;947;;;;;
246;1588;1014;;;;;
247;1589;1116;;;;;
248;1583;1189;;;;;
249;1579;1255;;;;;
250;1580;1282;;;;;
251;1589;1324;;;;;
252;1585;1337;;;;;
253;1582;1357;;;;;
254;1806;3193;;;;;
255;1849;2693;;;;;
256;1851;2443;;;;;
257;1847;2255;;;;;
258;1846;2100;;;;;
259;1839;1985;;;;;
260;1837;1945;;;;;
261;1848;1840;;;;;
262;1849;1765;;;;;
263;1843;1719;;;;;
264;2100;907;;;;;
265;2120;1046;;;;;
266;2121;1200;;;;;
267;2111;1325;;;;;
268;2093;1529;;;;;
269;2110;1525;;;;;
270;2110;1567;;;;;
271;2114;1591;;;;;
272;2130;1591;;;;;
273;2125;1633;;;;;
274;2107;1666;;;;;
275;2104;1685;;;;;
276;2111;1721;;;;;
277;2104;1736;;;;;
278;2108;1738;;;;;
279;2108;1738;;;;;
280;2383;1568;;;;;
281;2405;1605;;;;;
282;2413;1692;;;;;
283;2403;1735;;;;;
284;2415;2129;;;;;
285;2399;2081;;;;;
286;2405;2076;;;;;
287;2403;2055;;;;;
288;2411;2146;;;;;
289;2402;2112;;;;;
290;2415;2119;;;;;
291;2403;2080;;;;;
292;2415;2120;;;;;
293;2407;2101;;;;;
294;2411;2096;;;;;
295;2402;2097;;;;;
296;2406;2064;;;;;
297;2405;2065;;;;;
298;2405;2038;;;;;
299;2413;2073;;;;;
300;2407;2125;;;;;
301;2403;2155;;;;;
302;2407;2148;;;;;
303;2413;2126;;;;;
304;2405;2110;;;;;
305;2415;2093;;;;;
306;2407;2101;;;;;
307;2411;2094;;;;;
308;2411;2139;;;;;
309;2403;2110;;;;;
310;2409;2112;;;;;
311;2411;2104;;;;;
312;2413;2120;;;;;
313;2410;2107;;;;;
314;2404;2098;;;;;
315;2406;2102;;;;;
316;2127;2700;;;;;
317;2137;2549;;;;;
318;2129;2423;;;;;
319;2143;2341;;;;;
320;2132;2244;;;;;
321;2125;2190;;;;;
322;2142;2172;;;;;
323;2131;2160;;;;;
324;2141;2133;;;;;
325;2132;2113;;;;;
326;2135;2068;;;;;
327;2123;2015;;;;;
328;2137;1965;;;;;
329;2141;1941;;;;;
330;2139;1901;;;;;
331;2127;1887;;;;;
332;1857;1950;;;;;
333;1849;1928;;;;;
334;1836;1892;;;;;
335;1838;1861;;;;;
336;1837;1776;;;;;
337;1839;1735;;;;;
338;1837;1699;;;;;
339;1841;1618;;;;;
340;1843;1476;;;;;
341;1841;1408;;;;;
342;1566;646;;;;;
343;1574;789;;;;;
344;1585;875;;;;;
345;1577;944;;;;;
346;1581;994;;;;;
347;1582;1027;;;;;
348;1580;1069;;;;;
349;1582;1081;;;;;
350;1579;1107;;;;;
351;1585;1130;;;;;
352;1581;1142;;;;;
353;1573;1154;;;;;
354;1311;1784;;;;;
355;1313;1686;;;;;
356;1309;1610;;;;;
357;1311;1541;;;;;
358;1315;1470;;;;;
359;1311;1402;;;;;
360;1305;1333;;;;;
361;1311;1283;;;;;
362;1313;1257;;;;;
363;1314;1223;;;;;
364;1001;1859;;;;;
365;1004;1592;;;;;
366;1007;1457;;;;;
367;1021;1345;;;;;
368;1015;1390;;;;;
369;1023;1280;;;;;
370;1025;1220;;;;;
371;1019;1175;;;;;
372;1009;1253;;;;;
373;1016;1147;;;;;
374;1023;1129;;;;;
375;1017;1122;;;;;
376;1029;1030;;;;;
377;1029;1032;;;;;
378;1016;1041;;;;;
379;1020;1046;;;;;
380;760;1750;;;;;
381;749;1575;;;;;
382;747;1412;;;;;
383;751;1299;;;;;
384;752;1218;;;;;
385;751;1162;;;;;
386;747;1107;;;;;
387;747;1051;;;;;
388;756;1212;;;;;
389;747;1131;;;;;
390;746;1067;;;;;
391;745;1018;;;;;
392;748;1302;;;;;
393;745;1164;;;;;
394;750;1115;;;;;
395;741;1036;;;;;
396;753;1269;;;;;
397;745;1159;;;;;
398;748;1097;;;;;
399;742;999;;;;;
400;747;1179;;;;;
401;746;1041;;;;;
402;748;1015;;;;;
403;738;953;;;;;
404;748;1225;;;;;
405;743;1129;;;;;
406;751;1064;;;;;
407;742;992;;;;;
408;745;1213;;;;;
409;749;1109;;;;;
410;735;1023;;;;;
411;746;984;;;;;
412;738;1197;;;;;
413;749;1116;;;;;
414;737;1032;;;;;
415;747;989;;;;;
416;1015;643;;;;;
417;1029;690;;;;;
418;1026;742;;;;;
419;1022;798;;;;;
420;1019;831;;;;;
421;1021;875;;;;;
422;1022;877;;;;;
423;1025;865;;;;;
424;1025;829;;;;;
425;1018;860;;;;;
426;1023;891;;;;;
427;1022;897;;;;;
428;1020;944;;;;;
429;1023;996;;;;;
430;1027;1017;;;;;
431;1017;1036;;;;;
432;1309;891;;;;;
433;1311;869;;;;;
434;1305;853;;;;;
435;1320;844;;;;;
436;1313;985;;;;;
437;1311;1001;;;;;
438;1307;1039;;;;;
439;1309;1086;;;;;
440;1310;1178;;;;;
441;1313;1207;;;;;
442;1580;625;;;;;
443;1581;744;;;;;
444;1582;845;;;;;
445;1578;918;;;;;
446;1577;1035;;;;;
447;1579;1131;;;;;
448;1581;1200;;;;;
449;1583;1249;;;;;
450;1584;1270;;;;;
451;1582;1309;;;;;
452;1581;1325;;;;;
453;1580;1361;;;;;
454;1801;3065;;;;;
455;1845;2611;;;;;
456;1845;2378;;;;;
457;1848;2197;;;;;
458;1848;2072;;;;;
459;1843;1947;;;;;
460;1849;1905;;;;;
461;1845;1824;;;;;
462;1847;1771;;;;;
463;1847;1701;;;;;
464;2111;1152;;;;;
465;2158;1368;;;;;
466;2139;1473;;;;;
467;2131;1543;;;;;
468;2111;1640;;;;;
469;2127;1627;;;;;
470;2133;1640;;;;;
471;2136;1657;;;;;
